nu_ano,estado,media_global
2014,Acre,461.20128267255615
2014,Alagoas,477.2400792218402
2014,Amapá,471.31841289943236
2014,Amazonas,473.7998007327073
2014,Bahia,482.99371396387187
2014,Brasil,487.6173937836479
2014,Ceará,481.2433808534482
2014,Distrito Federal,509.6015992028172
2014,Espírito Santo,505.2579909544492
2014,Goiás,492.31671729254
2014,Maranhão,468.3422655765905
2014,Mato Grosso,476.1114229992459
2014,Mato Grosso do Sul,483.98227808133515
2014,Minas Gerais,512.3421251420043
2014,Pará,476.0257944841702
2014,Paraíba,486.1244969677025
2014,Paraná,508.98618067498046
2014,Pernambuco,487.64823891497133
2014,Piauí,471.7120962376652
2014,Rio de Janeiro,518.0534738877958
2014,Rio Grande do Norte,490.5966735716672
2014,Rio Grande do Sul,506.2420368655891
2014,Rondônia,470.16611132146915
2014,Roraima,472.1653096417128
2014,Santa Catarina,515.8023147601507
2014,São Paulo,520.5818182729722
2014,Sergipe,477.82270581021004
2014,Tocantins,467.9913111545988
2015,Acre,480.5571954080359
2015,Alagoas,491.01466885690957
2015,Amapá,487.50586543788086
2015,Amazonas,486.939450030261
2015,Bahia,497.0735876206192
2015,Brasil,501.64432861228454
2015,Ceará,499.24168762181375
2015,Distrito Federal,516.6524540737369
2015,Espírito Santo,514.6606555729984
2015,Goiás,506.7916528278407
2015,Maranhão,486.1672932338279
2015,Mato Grosso,491.182513365312
2015,Mato Grosso do Sul,497.9071444050321
2015,Minas Gerais,523.0851688549599
2015,Pará,491.8301025701054
2015,Paraíba,500.89793082920096
2015,Paraná,520.3052911511456
2015,Pernambuco,502.1447089773997
2015,Piauí,492.5563407856195
2015,Rio de Janeiro,526.7546508726601
2015,Rio Grande do Norte,505.4264353950365
2015,Rio Grande do Sul,516.3690808644645
2015,Rondônia,487.8570081320924
2015,Roraima,490.05697766286
2015,Santa Catarina,522.8422241372302
2015,São Paulo,525.934718460154
2015,Sergipe,496.42505862968886
2015,Tocantins,486.2170067547967
2016,Acre,482.4197033868428
2016,Alagoas,495.5997858140024
2016,Amapá,487.0795439849443
2016,Amazonas,488.6219882899532
2016,Bahia,499.5880864162292
2016,Brasil,503.8759087933186
2016,Ceará,500.3200977903413
2016,Distrito Federal,521.6272813795875
2016,Espírito Santo,520.5336816159568
2016,Goiás,509.7513728332808
2016,Maranhão,485.91760251051363
2016,Mato Grosso,493.7976893300809
2016,Mato Grosso do Sul,499.2015651497294
2016,Minas Gerais,524.0728489555781
2016,Pará,491.45391010811267
2016,Paraíba,504.3878131264497
2016,Paraná,517.5476521400892
2016,Pernambuco,505.5806755024901
2016,Piauí,491.2601074168437
2016,Rio de Janeiro,533.0028415965336
