codigo_municipio,nome_municipio,sigla_uf,nome_uf,lat,lng,nota_total,avg_nota_cn,avg_nota_ch,avg_nota_lc,avg_nota_mt,avg_nota_redacao,nu_ano
1200013,Acrelândia,AC,Acre,-9.82581,-66.8972,488.1749785809906,450.2421686746988,481.6511111111111,468.9116666666667,491.2921686746988,548.7777777777778,2021
1200013,Acrelândia,AC,Acre,-9.82581,-66.8972,447.9784677272536,452.2706834532374,533.6755395683454,471.505046728972,439.43700934579437,343.0040595399188,2015
1200013,Acrelândia,AC,Acre,-9.82581,-66.8972,467.32822435709653,448.26263736263735,498.2590266875981,488.17894736842106,453.7427432216906,448.1977671451356,2016
1200013,Acrelândia,AC,Acre,-9.82581,-66.8972,480.78350905318746,461.7564315352697,473.04015151515154,490.27310606060604,475.51452282157675,503.3333333333333,2020
1200013,Acrelândia,AC,Acre,-9.82581,-66.8972,485.6513950867703,456.23011494252876,535.0705882352942,489.91263616557734,492.35954022988506,454.68409586056646,2018
1200013,Acrelândia,AC,Acre,-9.82581,-66.8972,487.9628340878605,458.38262910798124,492.21785714285716,480.8129464285714,489.11502347417843,519.2857142857143,2022
1200013,Acrelândia,AC,Acre,-9.82581,-66.8972,480.5219670569737,486.0648111332008,487.93536121673003,482.85209125475285,485.0731610337972,460.68441064638785,2017
1200013,Acrelândia,AC,Acre,-9.82581,-66.8972,475.03635276601955,442.9503722084367,470.8828235294118,488.03411764705885,476.27915632754343,497.0352941176471,2019
1200013,Acrelândia,AC,Acre,-9.82581,-66.8972,423.30521053386633,454.3807926829268,508.4042682926829,467.97956318252733,429.5884555382215,256.17297297297296,2014
1200013,Acrelândia,AC,Acre,-9.82581,-66.8972,480.59543735380356,459.5857740585774,479.4992125984252,480.73503937007877,470.4012552301255,512.7559055118111,2023
1200104,Brasiléia,AC,Acre,-10.995,-68.7497,444.63427660161733,448.25775862068963,536.8676724137931,474.45958083832335,424.46392215568864,339.1224489795918,2015
1200104,Brasiléia,AC,Acre,-10.995,-68.7497,488.20861088252866,465.7381773399015,536.1032036613273,498.4066361556064,493.1977832512315,447.59725400457666,2018
1200104,Brasiléia,AC,Acre,-10.995,-68.7497,424.5153297399046,454.8981458590853,520.4776266996291,473.9990873533246,433.9857887874837,239.216,2014
1200104,Brasiléia,AC,Acre,-10.995,-68.7497,507.42678761490083,471.57924528301885,497.15982905982906,493.42136752136753,500.272641509434,574.7008547008547,2021
1200104,Brasiléia,AC,Acre,-10.995,-68.7497,485.2036907456306,463.80165975103733,485.2060606060606,492.0685606060606,473.8058091286307,511.1363636363636,2023
1200104,Brasiléia,AC,Acre,-10.995,-68.7497,483.2643750505259,455.8155197657394,510.5631039531479,502.21533742331286,456.80766871165645,490.92024539877303,2016
1200104,Brasiléia,AC,Acre,-10.995,-68.7497,485.32507026991885,443.6166253101737,481.68122270742356,504.6148471615721,484.2235732009926,512.4890829694323,2019
1200104,Brasiléia,AC,Acre,-10.995,-68.7497,505.76138339591154,471.8774468085106,501.8850980392157,496.17607843137256,507.4957446808511,551.3725490196078,2022
1200104,Brasiléia,AC,Acre,-10.995,-68.7497,490.7855691721133,466.38933823529413,485.50942760942763,499.57037037037037,483.40147058823527,519.057239057239,2020
1200104,Brasiléia,AC,Acre,-10.995,-68.7497,480.57417638644364,484.8603515625,486.75774647887323,481.7896126760563,479.53359375,469.92957746478874,2017
1200203,Cruzeiro do Sul,AC,Acre,-7.62762,-72.6756,494.96499626417364,459.747756232687,484.7595667870036,471.3731304796287,482.83313019390584,576.1113976276431,2021
1200203,Cruzeiro do Sul,AC,Acre,-7.62762,-72.6756,481.429499443902,455.18999307479226,467.7796145050637,490.9656974844822,460.70647506925206,532.5057170859196,2020
1200203,Cruzeiro do Sul,AC,Acre,-7.62762,-72.6756,444.5133554167416,444.9252618041521,526.4315818482454,465.4843655589124,415.6049848942598,370.1205829781383,2015
1200203,Cruzeiro do Sul,AC,Acre,-7.62762,-72.6756,473.18133205087673,446.20815384615383,497.3226923076923,488.41429023079354,441.2993360733481,492.6621877963958,2016
1200203,Cruzeiro do Sul,AC,Acre,-7.62762,-72.6756,498.70381751335344,467.2,490.70057777777777,482.0112888888889,490.0694431223227,563.5377777777778,2022
1200203,Cruzeiro do Sul,AC,Acre,-7.62762,-72.6756,498.0823231957502,459.8683917878529,490.9254846526656,491.95440226171246,472.32408041060734,575.3392568659127,2023
1200203,Cruzeiro do Sul,AC,Acre,-7.62762,-72.6756,488.7453437458785,458.5774917991421,530.2575656324582,494.5142482100239,490.091016906384,470.28639618138425,2018
1200203,Cruzeiro do Sul,AC,Acre,-7.62762,-72.6756,427.8162746833496,449.3427008491182,515.3151045068582,469.0523801399079,421.7659614400273,283.6052264808362,2014
1200203,Cruzeiro do Sul,AC,Acre,-7.62762,-72.6756,484.49477724654474,442.3766444740346,473.12184936614466,491.9256524981357,476.1832223701731,538.8665175242356,2019
1200203,Cruzeiro do Sul,AC,Acre,-7.62762,-72.6756,475.16110033572187,478.27740733842427,476.34600243859956,474.56307263542936,466.9499720618365,479.6690472043198,2017
1200252,Epitaciolândia,AC,Acre,-11.0188,-68.7341,482.94990739732,453.78272506082726,508.9379562043796,502.3927860696517,454.71069651741294,494.92537313432837,2016
1200252,Epitaciolândia,AC,Acre,-11.0188,-68.7341,450.9408924410685,456.7602836879433,541.6186761229314,485.0329238329238,432.1464373464373,339.14614121510675,2015
1200252,Epitaciolândia,AC,Acre,-11.0188,-68.7341,500.454625167336,470.45694444444445,494.8813253012048,483.92289156626504,487.59027777777777,565.4216867469879,2021
1200252,Epitaciolândia,AC,Acre,-11.0188,-68.7341,498.60400711877105,476.91323529411767,494.78535031847133,488.95414012738854,495.6794117647059,536.687898089172,2022
1200252,Epitaciolândia,AC,Acre,-11.0188,-68.7341,496.3343517110266,470.17833333333334,543.0380228136883,512.0752851711027,498.12916666666666,458.2509505703422,2018
1200252,Epitaciolândia,AC,Acre,-11.0188,-68.7341,499.6514552147239,462.88527607361965,491.18514285714286,496.07257142857145,488.0,560.1142857142858,2023
1200252,Epitaciolândia,AC,Acre,-11.0188,-68.7341,493.95151434706224,457.53119266055046,489.4855319148936,509.5497872340425,483.8293577981651,529.3617021276596,2019
1200252,Epitaciolândia,AC,Acre,-11.0188,-68.7341,440.65749033639923,462.0937618147448,525.7695652173913,482.1892857142857,435.36369047619047,297.87114845938373,2014
1200252,Epitaciolândia,AC,Acre,-11.0188,-68.7341,485.43556436890145,490.6126984126984,487.5127478753541,485.84334277620394,480.2628571428571,482.94617563739376,2017
1200252,Epitaciolândia,AC,Acre,-11.0188,-68.7341,493.11497812414547,475.4377358490566,492.3717391304348,506.8858695652174,473.05345911949684,517.8260869565217,2020
1200302,Feijó,AC,Acre,-8.17054,-70.351,446.6942260441994,443.6602671118531,532.5929883138564,475.96330434782607,425.5073043478261,355.74726609963545,2015
1200302,Feijó,AC,Acre,-8.17054,-70.351,489.62429201945594,460.2245901639344,480.9223443223443,493.167032967033,473.29467213114754,540.5128205128206,2023
1200302,Feijó,AC,Acre,-8.17054,-70.351,424.91702407361856,447.88798920377866,512.3568151147099,471.54502103786814,423.87713884992985,268.9181561618062,2014
1200302,Feijó,AC,Acre,-8.17054,-70.351,479.347239070858,445.4480406386067,507.61378809869376,496.62488822652756,443.97943368107303,503.070044709389,2016
1200302,Feijó,AC,Acre,-8.17054,-70.351,477.8532948936978,435.3489749430524,472.95125,488.7997916666667,477.54145785876995,514.625,2019
1200302,Feijó,AC,Acre,-8.17054,-70.351,479.284887782982,451.0002976190476,472.0986338797814,491.99754098360654,464.9345238095238,516.3934426229508,2020
1200302,Feijó,AC,Acre,-8.17054,-70.351,477.25077501185507,477.86773162939295,479.7584707646177,479.2991004497751,478.294089456869,471.0344827586207,2017
1200302,Feijó,AC,Acre,-8.17054,-70.351,475.5456683750707,451.4618290258449,523.5655045871559,485.0308256880734,482.29403578528826,435.3761467889908,2018
1200302,Feijó,AC,Acre,-8.17054,-70.351,492.721798803606,462.3481927710843,487.66013986013985,478.1304195804196,493.3024096385542,542.1678321678322,2022
1200302,Feijó,AC,Acre,-8.17054,-70.351,493.1763730685558,455.5879120879121,487.3786802030457,477.6345177664975,483.04725274725274,562.2335025380711,2021
1200328,Jordão,AC,Acre,-9.1908,-71.9503,460.28693585151416,428.9932432432432,463.4855421686747,470.4,462.89324324324326,475.66265060240966,2019
1200328,Jordão,AC,Acre,-9.1908,-71.9503,468.502018802573,445.7232558139535,464.9127659574468,481.77021276595747,443.2953488372093,506.8085106382979,2020
1200328,Jordão,AC,Acre,-9.1908,-71.9503,447.2996823596143,429.5325581395349,481.75,460.5621951219512,427.58048780487803,437.0731707317073,2016
1200328,Jordão,AC,Acre,-9.1908,-71.9503,447.4169744160178,462.8758620689655,466.91209677419357,457.11129032258066,446.3146551724138,403.8709677419355,2017
1200328,Jordão,AC,Acre,-9.1908,-71.9503,477.98452887537997,455.2595238095238,526.9936170212766,475.68936170212766,494.53333333333336,437.4468085106383,2018
1200328,Jordão,AC,Acre,-9.1908,-71.9503,430.2579303041145,435.41769230769233,512.5084615384616,445.5536,415.0192,342.7906976744186,2015
1200328,Jordão,AC,Acre,-9.1908,-71.9503,475.42795334040295,461.23658536585367,485.7717391304348,474.13260869565215,475.1292682926829,480.8695652173913,2023
